model,claim,group,truth,statement,position,layer,lg_true,lg_false,lean_false,rank_false,rank_fabricated,rank_hoax,rank_fiction,rank_myth,rank_fake,rank_not,rank_never,rank_incorrect,top5
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,9,1.186876654624939,0.8839155435562134,-0.3029611110687256,47319,138352,6799,14454,146768,97999,3418,140475,77219,a | 众所周知 | ked | 解答 | am
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,10,2.60129976272583,2.8291409015655518,0.22784113883972168,10009,90624,18258,1405,2699,634,155379,179443,9399,ering | adge | ério | aglia | gia
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,10,0.20919384062290192,0.4628085196018219,0.25361467897892,66224,102547,17693,5344,99850,105671,5579,70112,39768,### |  Editorial | a | 众所周知 | 解答
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,11,2.670222282409668,3.256828784942627,0.586606502532959,13400,113592,3380,1393,4190,1183,206464,209692,8763,kti | رافی | arsers | andidates | ering
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,11,-0.13418439030647278,0.6616532802581787,0.7958376705646515,43835,99039,18643,11919,106491,141875,6751,59633,37980,解答 |  Answer | a | 众所周知 | 判断
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,12,2.2683768272399902,3.176046133041382,0.9076693058013916,22092,138148,9777,2710,1038,6208,219014,200671,29175,了吗 | kti | ecie | ğlu | İK
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,12,-0.2827681303024292,0.5132448673248291,0.7960129976272583,85060,47494,30900,35160,103787,179471,75441,58839,6714,众所周知 | 解答 |  Editorial | 准确性 | 很高兴
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,13,1.5930075645446777,4.563016414642334,2.9700088500976562,7110,100679,28488,18164,6844,8690,234206,166198,9836,rania | akil | emek | kti | 😀
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,13,0.04197615385055542,0.19148945808410645,0.14951330423355103,97221,130928,11640,58954,124055,216686,123577,60075,5189,众所周知 | 准确性 | 人是 | 的確 |  Editorial
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,14,1.293830156326294,2.7700161933898926,1.4761860370635986,7075,72876,34704,15471,4647,12874,168352,138794,38649,arz | ultats | mers | 及其自动化 | rania
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,14,-0.35825052857398987,1.0635361671447754,1.4217866957187653,48681,82097,4596,24173,58656,128431,121177,47202,3495,众所周知 | 为了解决 |  Editorial | 准确性 | 判断
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,15,2.9522945880889893,5.583824157714844,2.6315295696258545,4848,67701,22959,14275,41165,11718,236055,146440,15778,ultats | ergeb | akil | 不可能的 | 😀
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,15,0.10960105061531067,0.4947410821914673,0.3851400315761566,54034,129496,10015,9300,137705,157219,85113,90708,20013,cede | 弊 | abad |  Vill | wort
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,16,1.5090433359146118,3.9964427947998047,2.487399458885193,23651,41471,23382,37753,62027,3733,204051,159347,18423,😀 | ultats | 不可能的 | ezd | ilters
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,16,0.08108717203140259,-0.13173484802246094,-0.21282202005386353,99809,92639,10488,10446,197489,176887,131084,75568,34352,wort | 弊 | 人会 | abad | ats
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,17,1.798612356185913,3.7062973976135254,1.9076850414276123,33774,20506,17679,31988,22139,2075,170075,143308,10787,ebles | akil | łek | rages | eita
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,17,0.5862292051315308,0.8877013921737671,0.30147218704223633,46371,44099,9649,1132,205195,90229,194199,41245,26575,educ | iaz | wort | abad | heb
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,18,1.5875340700149536,3.134007692337036,1.5464736223220825,16421,8609,18568,12139,8220,1543,138216,49674,16493,ólica | accia | ultats | ilters | ería
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,18,0.7974212765693665,2.416362762451172,1.6189414858818054,19194,67129,2818,740,161214,87370,218072,75224,6955,iaz | ood | uc | auta | enni
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,19,1.913226842880249,4.828876495361328,2.915649652481079,20617,22657,16111,9339,33451,2280,216534,76316,13669,ebles | 😀 | eza | eita | ucie
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,19,1.7921383380889893,3.2869462966918945,1.4948079586029053,15110,19330,3284,2718,82181,109918,77346,43677,37117,rug | ead | hun | abad | ucin
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,20,2.655893564224243,5.3969035148620605,2.7410099506378174,10155,8241,1319,2107,6829,2104,220618,55544,5691,是不可能 | ebles | 众所周知 | klam | 不可能的
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,20,2.6285200119018555,3.4390649795532227,0.8105449676513672,10725,46537,9980,9016,116435,155883,74992,42287,32796,abad | ead | hun | antan | ucin
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,21,3.8493545055389404,5.899705410003662,2.0503509044647217,6067,7608,453,3124,5060,1040,188742,24621,1280,是不可能 | 众所周知 | ólica | ewise | 也不可能
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,21,2.7991855144500732,3.783503770828247,0.9843182563781738,5141,80362,5177,12015,76179,151877,19380,65603,35688,abad | řej |  limiting | antan | łam
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,22,2.709441900253296,3.6369357109069824,0.9274938106536865,9468,3664,723,1324,716,1248,90705,5329,1007,是不可能 | łek | र्फ | 都不可能 | 事实证明
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,22,3.0693178176879883,3.660978317260742,0.5916604995727539,9333,103146,2632,942,61383,130332,10138,45126,97767,abad | antum | antor | 相关推荐 | řej
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,23,3.285379648208618,4.733674049377441,1.4482944011688232,15662,6624,437,1258,2265,2151,136459,13398,2810,łek | ccak | 是不可能 | redient | 众所周知
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,23,2.6261379718780518,4.490351676940918,1.8642137050628662,2624,71999,8026,16711,166568,163450,21696,29710,89301,řej | abad | antum | 并讲话 | ostra
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,24,3.0324158668518066,4.948005199432373,1.9155893325805664,11059,4922,208,581,2601,296,137635,14457,1120,łek | 是不可能 | 不可能的 | 众所周知 | evers
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,24,3.3571510314941406,5.479411602020264,2.122260570526123,821,67998,2404,13248,188392,148328,68287,56278,17193,řej | NotExist | abad | 筑牢 | smål
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,25,2.1635184288024902,3.481492280960083,1.3179738521575928,23277,23368,2226,1732,5445,603,127543,63032,3371,众所周知 | 不可能的 | 全国人民 | redient | 也不可能
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,25,3.1096694469451904,5.479454517364502,2.3697850704193115,1187,122040,1877,10571,176289,166882,126800,67367,24393,ovati |  migrationBuilder | �� | abad | eneg
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,26,2.26838755607605,3.0985255241394043,0.8301379680633545,4530,8042,1284,543,882,124,63841,35771,1278,妄想 | 众所周知 | ultats | 是不可能 | ería
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,26,3.2410690784454346,6.553293704986572,3.3122246265411377,84,66138,1026,13872,162458,48568,109356,36483,2285,eneg | grese | ultats | 筑牢 | abad
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,27,3.853731632232666,5.5282673835754395,1.6745357513427734,3144,5662,313,942,2800,27,99565,29847,636,不可能的 | 妄想 | triz | 是真的 | 的真实
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,27,2.843808889389038,6.711263656616211,3.867454767227173,58,52856,1429,11666,167832,83497,157746,39111,3240,/testify | grese | abad | 截至目前 | aksana
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,28,3.7515172958374023,5.911462306976318,2.159945011138916,2540,6586,486,765,3527,19,156480,9272,1997,/testify | claims | erville | 是真的 | isseurs
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,28,2.5446600914001465,5.736154556274414,3.1914944648742676,443,86481,3430,11071,173578,77389,75483,3408,15534,osate | ovati | ernaut | NGTH | antom
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,29,5.106356620788574,6.052697658538818,0.9463410377502441,2480,4106,1809,3238,10959,10,148719,3469,1122,isseurs | claims | 的真实 | 是真的 | /testify
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,29,3.2755179405212402,6.431546688079834,3.1560287475585938,529,87876,2835,8415,133636,58442,89081,2813,10441,osate | ～。 | antom | aternion | ovati
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,30,5.441821575164795,5.607903003692627,0.16608142852783203,1816,5656,1251,4027,10430,9,198608,10849,502,isseurs | /testify | claims | 是真的 | ifact
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,30,3.862982988357544,8.507974624633789,4.644991636276245,20,52158,1613,8762,158296,20918,120001,1601,858,osate | /testify |  ｢ | aternion | 粉碎
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,31,7.013267517089844,6.599057674407959,-0.41420984268188477,1230,43687,2675,1768,28854,158,181064,8698,827,是真的 | isseurs | evers | entena | /testify
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,31,3.7469940185546875,8.772516250610352,5.025522232055664,5,84375,950,13547,152182,14847,125237,1178,1887,_FALSE |  falsehood | osate | ～。 | ERTO
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,32,6.312955856323242,6.083649635314941,-0.22930622100830078,2049,66379,10148,3314,43139,157,207783,12729,655,isseurs | evers | /testify | entena | EVENT
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,32,3.825348138809204,8.789565086364746,4.964216947555542,16,85738,948,34412,129124,18967,194172,12244,401,osate | _FALSE | /testify | ～。 | .SpringBootApplication
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,33,5.965151786804199,5.857785701751709,-0.10736608505249023,1572,101225,15880,1147,27453,1656,227064,31038,1915,isseurs | ultats | /testify | utados | utación
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,33,3.298438549041748,10.808403968811035,7.509965419769287,1,67136,415,13137,79833,10541,165358,12399,158,<|im_start|> |  False | _FALSE | .False | osate
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,34,5.239990711212158,4.647345066070557,-0.5926456451416016,1768,81194,12628,4335,35117,788,197973,39159,2087,isseurs | -events | statements | 是真的 | EventData
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,34,3.6527323722839355,9.63595199584961,5.983219623565674,0,17998,1665,6449,60719,9337,144132,8916,150, False | False | <|im_start|> | _FALSE | .False
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,35,5.865666389465332,5.27829122543335,-0.5873751640319824,1019,74960,50630,4743,62903,758,221015,77530,3288,isseurs | wins | won | statements | 是真的
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,35,7.706280708312988,17.887645721435547,10.181365013122559,0,6417,3949,1874,90588,280,214007,55385,472, False | False |  false | false | _FALSE
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,36,7.762232780456543,6.592251777648926,-1.1699810028076172,1269,65939,28961,1716,100163,748,235020,64467,3101,wins | <|box_end|> | won | .Ed |  winning
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,36,9.848923683166504,21.524267196655273,11.67534351348877,0,4826,993,578,116790,58,229283,49554,159, False | False | false |  false | _FALSE
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,37,8.973043441772461,6.870185375213623,-2.102858066558838,1548,86090,41207,2275,109490,1217,234162,70877,4096,.Ed |  Ed | Ed | _ed | _ED
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,37,11.247511863708496,21.401226043701172,10.153714179992676,0,2703,1556,330,130073,61,202382,45727,236, False |  false | False | false | _FALSE
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,38,6.593689441680908,4.700852394104004,-1.8928370475769043,4091,71424,45514,3536,73644,3526,152801,49740,4285, Ed | .Ed | Ed | _ed |  ed
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,38,9.546241760253906,19.12629508972168,9.580053329467773,0,52845,68775,1241,221622,752,126309,12308,1811,False |  False | _FALSE | false |  false
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,39,10.379948616027832,7.196247100830078,-3.183701515197754,185,14408,11621,7095,10115,781,697,1887,4562,<|im_end|> | \n\n | \n |  Ed |  won
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,39,17.250335693359375,26.500268936157227,9.249933242797852,0,45604,25645,4115,130972,1401,2132,3728,1939,False |  False | True | false | <think>
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,statement_end,0,0.6370847821235657,-0.5604575276374817,-1.1975423097610474,83505,61130,71546,8245,88960,40074,17365,60281,152911,\n | \n\n | ® | oy | ao
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,answer,0,2.801715135574341,-2.5039126873016357,-5.305627822875977,157414,28315,106437,22737,143008,79272,563,63595,200345,\n\n | 以下 | a | au | 一个
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,statement_end,1,2.0098087787628174,-0.07496702671051025,-2.0847758054733276,58274,55425,21090,4410,78475,21837,40988,20942,182206,\n | ering | ® | � | \n\n
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,answer,1,4.83538818359375,0.49688199162483215,-4.338506191968918,26526,88147,28910,24423,173136,58408,3880,117421,105761,a | au | ✅ | ا | 你的
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,statement_end,2,1.1827638149261475,0.30758315324783325,-0.8751806616783142,31766,55953,39377,5115,49084,24098,44608,9877,129553,____ | \n | ering |  | | \n\n
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,answer,2,4.978270530700684,1.6067745685577393,-3.3714959621429443,4659,119145,63186,6417,96234,11241,1338,60206,72845,★ | at |  \n\n | 以下是 |   \n
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,statement_end,3,2.2309110164642334,0.662917971611023,-1.5679930448532104,51873,86964,22786,1315,8002,17219,95636,48224,156631,____ | ering |  functions | _____ | rib
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,answer,3,4.50150728225708,2.5453176498413086,-1.9561896324157715,1821,92374,94389,6915,137179,6102,2896,52402,86597,as | a |   \n | � | am
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,statement_end,4,2.225090503692627,1.398047685623169,-0.827042818069458,33573,51042,4454,446,3760,9188,136260,80741,79216,____ | _____ |  ____ | andidates | 阅
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,answer,4,3.9333081245422363,2.1427266597747803,-1.790581464767456,3977,171047,141898,31341,193193,93193,5355,39001,118585,ao | ism | ats | 均可 | a
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,statement_end,5,2.6634607315063477,2.2548677921295166,-0.40859293937683105,5789,77889,9006,808,8852,8371,118693,91974,83654,____ | andidates | acher | ering | _____
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,answer,5,4.184895038604736,2.40647554397583,-1.7784194946289062,4451,185651,86354,26050,84605,94892,23984,70289,95865,众所周知 | aut | a | ats |  math
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,statement_end,6,1.581857442855835,1.9694039821624756,0.3875465393066406,5726,55564,15349,1106,888,3940,66829,129688,80647,® | ships |  By |  dynamic | keit
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,answer,6,3.4235329627990723,2.3162331581115723,-1.1072998046875,3510,169781,137845,11629,92584,105823,16100,80168,83401,ats | a | 众所周知 | ### | aut
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,statement_end,7,1.827523946762085,3.0156116485595703,1.1880877017974854,4747,93380,1843,2652,1986,2578,156079,151397,55332,achter | ☆☆ | gia | 亿人 | incs
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,answer,7,2.798356533050537,2.3264319896698,-0.4719245433807373,14334,164634,113225,23393,134680,96265,36070,122474,55123,acu | uw | 众所周知 | 填空 | aut
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,statement_end,8,2.733612537384033,3.178406000137329,0.4447934627532959,6024,137253,609,1907,390,2925,199437,119048,43159,achter | 亿人 | ixin | ☆☆ | incs
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,answer,8,1.6766232252120972,1.5246795415878296,-0.15194368362426758,56339,96372,37654,16297,135456,136989,39328,144435,59059,ked | a | anf | inf | uw
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,statement_end,9,1.8456614017486572,3.054950475692749,1.2092890739440918,10147,85553,1642,2596,1110,7070,239117,162275,8267,亿人 | ☆☆ | یکی | ён | gia
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,answer,9,1.358372688293457,1.0467264652252197,-0.3116462230682373,41837,136002,10168,9359,138735,89880,3893,142784,75992,a | 解答 | ked | 众所周知 | 您好
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,statement_end,10,3.0488879680633545,2.5831069946289062,-0.46578097343444824,9721,74852,4909,4112,5659,13665,204117,128854,7451,ulus | etz | gia | elli | achter
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,answer,10,0.5480250120162964,0.5580177307128906,0.009992718696594238,62472,98554,23991,6381,100411,99702,7120,80476,40427,a | 解答 | ### |  Editorial | 众所周知
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,statement_end,11,4.2390007972717285,3.609910249710083,-0.6290905475616455,6072,135612,1098,4657,7074,18408,220097,163523,10796,رافی | achter | ixin | gia | 卖的
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,answer,11,0.37576383352279663,0.8699154853820801,0.49415165185928345,38613,89089,21593,15531,117032,151575,9078,59759,39321,解答 | a |  Answer | 众所周知 | 判断
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,statement_end,12,3.0662381649017334,3.7036657333374023,0.637427568435669,7864,98177,620,2080,560,2974,194253,167878,8368,رافی | achter | ovac | 非常高 | 残念ながら
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,answer,12,0.1087385043501854,0.671812117099762,0.5630736127495766,79584,44344,34124,38853,110180,187877,80800,57405,5715,众所周知 | 解答 | 很高兴 |  Editorial | a
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,statement_end,13,3.974500894546509,5.92287540435791,1.9483745098114014,689,40777,3181,8916,4274,5272,243901,189113,1890,残念ながら | رافی | eniu | 非常高 | 卖的
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,answer,13,0.5254901051521301,0.20900779962539673,-0.3164823055267334,94143,141584,22298,71670,130721,217550,120666,49546,4561,众所周知 | 准确性 | 解答 |  Editorial | 人是
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,statement_end,14,3.055074691772461,4.1418280601501465,1.0867533683776855,388,19570,2321,4433,1120,6899,179849,68994,5124, claim |  claims | 残念ながら | eksi | yled
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,answer,14,-0.37145113945007324,0.834228515625,1.2056796550750732,58632,82864,9422,27266,68566,137445,140804,36363,5127,众所周知 | 为了解决 |  Editorial | 回答 | 判断
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,statement_end,15,3.6384780406951904,6.317600250244141,2.67912220954895,715,50526,1318,16218,4231,6756,239558,83990,7066,eksi | 不可能的 | eniu | ovac | رافی
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,answer,15,-0.1899833381175995,0.1637851595878601,0.3537684977054596,79514,131452,17254,12192,148805,187306,109956,85400,28740,abad | wort | cede | uny | .exec
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,statement_end,16,3.305483818054199,6.375015735626221,3.0695319175720215,707,49375,1009,21743,8203,3250,222412,39503,1672,رافی | ogia | ovac | 团成员 | 而论
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,answer,16,-0.24036329984664917,-0.6892110109329224,-0.4488477110862732,133120,99428,20838,14776,204795,189488,152544,53979,53090,wort | abad | 弊 | ats | uny
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,statement_end,17,3.3787131309509277,5.12635612487793,1.747642993927002,3801,52091,930,15807,3483,922,187912,65460,5079,ccount | 而论 | رافی | 交口 | ović
base,ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,answer,17,0.6331173777580261,0.46531587839126587,-0.16780149936676025,73426,43806,21796,1215,206317,107526,199422,27040,47134,wort | iaz | abad | educ | 周刊
